"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-72.220805,21.786118,NA,"Acanthurus chirurgus"
"gbif",-80.855508,24.891124,NA,"Acanthurus chirurgus"
"gbif",-86.983175,20.466383,NA,"Acanthurus chirurgus"
"gbif",-82.030548,9.259237,NA,"Acanthurus chirurgus"
"gbif",-81.922431,9.213184,NA,"Acanthurus chirurgus"
"gbif",-80.071038,26.332681,NA,"Acanthurus chirurgus"
"gbif",-80.153183,25.736483,NA,"Acanthurus chirurgus"
"gbif",-82.74869,9.66316,NA,"Acanthurus chirurgus"
"gbif",-82.778994,9.716392,NA,"Acanthurus chirurgus"
"gbif",-80.092672,26.189127,NA,"Acanthurus chirurgus"
"gbif",-80.091342,26.189183,NA,"Acanthurus chirurgus"
"gbif",-80.030214,26.714012,NA,"Acanthurus chirurgus"
"gbif",-80.159373,25.666066,NA,"Acanthurus chirurgus"
"gbif",-61.081684,14.49067,NA,"Acanthurus chirurgus"
"gbif",-61.08172,14.490637,NA,"Acanthurus chirurgus"
"gbif",-61.081656,14.490668,NA,"Acanthurus chirurgus"
"gbif",-81.55621,9.109056,NA,"Acanthurus chirurgus"
"gbif",-81.556403,9.109183,NA,"Acanthurus chirurgus"
"gbif",-61.775,16.10972,NA,"Acanthurus chirurgus"
"gbif",-85.730601,30.125535,NA,"Acanthurus chirurgus"
"gbif",-64.737504,32.322897,NA,"Acanthurus chirurgus"
"gbif",-80.074252,26.31028,NA,"Acanthurus chirurgus"
"gbif",-80.074265,26.310279,NA,"Acanthurus chirurgus"
"gbif",-80.031321,26.774874,NA,"Acanthurus chirurgus"
"gbif",-64.792854,32.263202,NA,"Acanthurus chirurgus"
"gbif",-64.789441,18.323363,NA,"Acanthurus chirurgus"
"gbif",-77.093013,18.414718,NA,"Acanthurus chirurgus"
"gbif",-38.984362,-16.40285,NA,"Acanthurus chirurgus"
"gbif",-76.820044,17.918382,NA,"Acanthurus chirurgus"
"gbif",-77.16748,18.43358,NA,"Acanthurus chirurgus"
"gbif",-77.157237,18.426432,NA,"Acanthurus chirurgus"
"gbif",-64.896583,18.27659,NA,"Acanthurus chirurgus"
"gbif",-80.042472,26.782513,NA,"Acanthurus chirurgus"
"gbif",-80.603594,24.951962,NA,"Acanthurus chirurgus"
"gbif",-80.994116,25.150259,NA,"Acanthurus chirurgus"
"gbif",-80.042151,26.782888,NA,"Acanthurus chirurgus"
"gbif",-80.043812,26.772491,NA,"Acanthurus chirurgus"
"gbif",-80.045086,26.783305,NA,"Acanthurus chirurgus"
"gbif",-80.041983,26.782333,NA,"Acanthurus chirurgus"
"gbif",-80.040694,26.775372,NA,"Acanthurus chirurgus"
"gbif",-80.770933,24.880852,NA,"Acanthurus chirurgus"
"gbif",-64.747062,18.356067,NA,"Acanthurus chirurgus"
"gbif",-81.388255,19.267974,NA,"Acanthurus chirurgus"
"gbif",-82.874367,24.629289,NA,"Acanthurus chirurgus"
"gbif",-80.040473,26.783788,NA,"Acanthurus chirurgus"
"gbif",-77.181398,18.442328,NA,"Acanthurus chirurgus"
"gbif",-77.181353,18.44248,NA,"Acanthurus chirurgus"
"gbif",-76.988134,18.407839,NA,"Acanthurus chirurgus"
"gbif",-80.013298,26.877517,NA,"Acanthurus chirurgus"
"gbif",-68.288611,12.170618,NA,"Acanthurus chirurgus"
"gbif",-68.288949,12.170085,NA,"Acanthurus chirurgus"
"gbif",-86.841288,20.903218,NA,"Acanthurus chirurgus"
"gbif",-68.288813,12.170515,NA,"Acanthurus chirurgus"
"gbif",-68.289485,12.16924,NA,"Acanthurus chirurgus"
"gbif",-68.289498,12.169814,NA,"Acanthurus chirurgus"
"gbif",-68.289475,12.170652,NA,"Acanthurus chirurgus"
"gbif",-68.289931,12.171634,NA,"Acanthurus chirurgus"
"gbif",-68.289766,12.170751,NA,"Acanthurus chirurgus"
"gbif",-81.486881,12.470698,36,"Acanthurus chirurgus"
"gbif",-81.475571,12.415861,23,"Acanthurus chirurgus"
"gbif",-81.4286,12.3705,15.5,"Acanthurus chirurgus"
"gbif",-81.479028,12.420889,3.5,"Acanthurus chirurgus"
"gbif",-81.466361,12.451861,7.5,"Acanthurus chirurgus"
"gbif",-81.439556,12.39825,14.9,"Acanthurus chirurgus"
"gbif",-81.452694,12.389806,4.1,"Acanthurus chirurgus"
"gbif",-81.4525,12.392028,2.6,"Acanthurus chirurgus"
"gbif",-81.470972,12.425139,6,"Acanthurus chirurgus"
"gbif",-81.443667,12.400139,5,"Acanthurus chirurgus"
"gbif",-80.511944,12.4075,NA,"Acanthurus chirurgus"
"gbif",-67.264467,18.349608,NA,"Acanthurus chirurgus"
"gbif",-80.30756,25.110354,NA,"Acanthurus chirurgus"
"gbif",-61.07979,14.54341,NA,"Acanthurus chirurgus"
"gbif",-75.16825,19.897179,NA,"Acanthurus chirurgus"
"gbif",-77.181256,18.442239,NA,"Acanthurus chirurgus"
"gbif",-77.167249,18.434237,NA,"Acanthurus chirurgus"
"gbif",-75.703966,19.959128,NA,"Acanthurus chirurgus"
"gbif",-87.137442,20.561856,NA,"Acanthurus chirurgus"
"gbif",-61.082167,14.489141,NA,"Acanthurus chirurgus"
"gbif",-32.393687,-3.816951,NA,"Acanthurus chirurgus"
"gbif",-61.09041,14.49415,NA,"Acanthurus chirurgus"
"gbif",-87.03309,20.34926,NA,"Acanthurus chirurgus"
"gbif",-81.240869,19.32217,NA,"Acanthurus chirurgus"
"gbif",-76.987587,18.407981,NA,"Acanthurus chirurgus"
"gbif",-80.685338,24.940157,NA,"Acanthurus chirurgus"
"gbif",-60.696738,11.282012,NA,"Acanthurus chirurgus"
"gbif",-64.706353,18.30925,NA,"Acanthurus chirurgus"
"gbif",-77.33624,26.781765,NA,"Acanthurus chirurgus"
"gbif",-78.591678,26.534343,NA,"Acanthurus chirurgus"
"gbif",-78.590533,26.53458,NA,"Acanthurus chirurgus"
"gbif",-78.59085,26.534687,NA,"Acanthurus chirurgus"
"gbif",-61.78972,16.16611,NA,"Acanthurus chirurgus"
"gbif",-61.79028,16.16667,NA,"Acanthurus chirurgus"
"gbif",-61.77974,16.1742,NA,"Acanthurus chirurgus"
"gbif",-45.7025,-24.1054,5.7,"Acanthurus chirurgus"
